ProductID,ProductName,Category,Brand,Price,DiscountedPrice,Gender,Size,Color,StockQuantity,WarehouseLocation,DateAdded
bd4930b0,identify,Accessories,Fox-Small,135.76,54.28,Unisex,M,Orange,2,Jacksonburgh,30-01-2024
9872db20,resource,Accessories,Griffin Ltd,73.24,104.64,Male,XL,DarkGreen,285,Jackland,16-08-2024
95f5bff6,season,Men,"Perez, Braun and Powers",131.19,132.18,Male,S,PowderBlue,240,Fergusonmouth,01-05-2024
4118ff55,whom,Women,Ashley Inc,125.28,53.68,Male,M,MediumOrchid,399,Rushview,05-07-2024
c1079c76,want,Women,Ward Inc,185.29,77.79,Unisex,S,MediumSlateBlue,382,Jonesfurt,17-06-2024
7e6ddea2,thing,Women,Perez and Sons,143.4,174.92,Unisex,M,Gainsboro,90,Simmonsland,14-06-2024
42192546,pull,Men,"Dawson, Jennings and Parker",19.84,149.51,Male,M,MistyRose,194,New Amanda,14-05-2024
b3e8b0cc,his,Women,Schultz-Campos,33.96,80.65,Unisex,XL,Navy,288,Richardmouth,17-07-2024
975a7562,seat,Accessories,Middleton-Zimmerman,53.96,69.57,Male,L,Aquamarine,353,Angelamouth,16-04-2024
1de87b40,oil,Men,"Hawkins, Oneal and Kim",27.53,168.37,Female,L,LightSeaGreen,121,Curtisfort,30-01-2024
1d8b401b,enter,Accessories,Ball-Rogers,39.68,109.39,Unisex,M,Gainsboro,83,Kathryntown,31-05-2024
67b499fa,director,Women,"Hickman, Ball and Flowers",150.54,28.65,Unisex,XL,BurlyWood,235,Lake Adamview,19-11-2024
8e8bcdfc,age,Accessories,"Barton, Bell and Gilbert",158.82,9.23,Female,L,Salmon,10,South Amy,22-06-2024
afb848b3,establish,Accessories,Santiago-Moreno,131.25,115.68,Female,S,SpringGreen,334,Lake Katiemouth,22-02-2024
b2ebaa4e,plan,Men,Evans-Li,113.11,71.19,Unisex,XL,Lavender,390,North Debra,24-03-2024
e0c91e94,during,Accessories,Williams-Hopkins,87.01,35.15,Male,M,NavajoWhite,198,Christinaview,14-02-2024
668dcc07,force,Men,"Hines, Lowe and Johnson",124.34,132.57,Male,S,Orange,29,South Edwardfurt,22-01-2024
a11586d0,cell,Accessories,Martinez Group,88.22,101.15,Male,L,DeepSkyBlue,354,Christinefort,15-12-2024
d40cd2eb,at,Women,"Hogan, Reed and Harvey",108.88,84.47,Unisex,L,Teal,346,Lake Michelleland,11-08-2024
50a3506f,win,Men,"Snyder, Ryan and Henry",133.09,137.14,Unisex,S,Aqua,382,East Williefurt,26-11-2024
