StoreID,StoreName,Address,City,State,Country,Region,OpeningDate,ManagerID
fc335c17,"Terry, Navarro and Henry","Unit 4646 Box 6743
DPO AE 20920",Anthonyhaven,OR,USA,West,44238,0bd05ee0
b5e74e8b,White-Lopez,"37368 Phillips Garden
Smithton, ME 12162",East Allison,KY,USA,North,45331,9fb1b3e5
17b4d38b,"Greene, Moore and Ortiz","4211 Alan Streets
Smithfurt, CO 26807",South Megan,ME,USA,South,45010,f2f99e40
6292c935,White-Lee,"97074 Suzanne Gardens Apt. 946
Abbottbury, IN 38724",West Feliciaview,IN,USA,North,44419,3d0215d3
c49344af,"Keller, Pruitt and Torres","835 Sabrina Club Suite 938
New Christopherstad, IA 62379",Hansenberg,MO,USA,East,44851,2f872c65
362842cf,Freeman PLC,"2564 Rodriguez Corner
South Brandonhaven, WY 56881",North Victoria,RI,USA,South,44227,0ca965f6
aab472d7,"Parks, Larsen and Chandler","PSC 8988, Box 2072
APO AA 53216",New Elizabeth,CT,USA,North,45435,eed55879
0a1cbb9f,"Holder, Padilla and Logan","07084 Michael Club
East Lindsey, NM 76360",Jeremytown,MO,USA,East,45180,f600a98f
753407b3,Fletcher Group,"48507 Thomas Prairie Suite 700
Bethanyland, ND 96107",Carlosburgh,CA,USA,East,44089,6fd03e90
58cac782,Nguyen-Wall,"124 Proctor Crossing
Trevinohaven, IL 69711",West Sarahbury,MT,USA,North,45503,8d9de9f1
