StoreID,StoreName,Address,City,State,Country,Region,OpeningDate,ManagerID
aab472d7,"Parks, Larsen and Chandler","PSC 8988, Box 2072
APO AA 53216",New Elizabeth,CT,USA,North,23-05-2024,eed55879
938d175a,Torres Group,"003 Melissa Village
Vasquezland, TN 94465",Clarkefort,ND,USA,West,11-08-2024,8194f860
906af57b,Hill-Reynolds,"600 Richard Divide Suite 651
North Gregory, SC 71116",Madisonport,NE,USA,South,01-05-2020,7197839
0a1cbb9f,"Holder, Padilla and Logan","07084 Michael Club
East Lindsey, NM 76360",Jeremytown,MO,USA,East,11-09-2023,f600a98f
19b4cf80,Warren-Mullins,"50846 Rogers Light Apt. 778
Saunderschester, SC 84658",Roberttown,AL,USA,South,17-10-2020,6a51b23a
a0a2a919,"Willis, Harper and Miller","43713 Scott River Suite 615
Thomasfort, MN 03903",Morganton,IN,USA,East,28-12-2021,037db32a
b5e74e8b,White-Lopez,"37368 Phillips Garden
Smithton, ME 12162",East Allison,KY,USA,North,09-02-2024,9fb1b3e5
58cac782,Nguyen-Wall,"124 Proctor Crossing
Trevinohaven, IL 69711",West Sarahbury,MT,USA,North,30-07-2024,8d9de9f1
2df9aa07,Ryan Group,"841 Sloan Stravenue Suite 539
North Annetteside, CA 55011",Brianfort,AL,USA,West,19-07-2023,d9879e5c
753407b3,Fletcher Group,"48507 Thomas Prairie Suite 700
Bethanyland, ND 96107",Carlosburgh,CA,USA,East,15-09-2020,6fd03e90
