SessionID,CustomerID,PageViewed,Duration,Date,Device,Referrer
83d51e24,b033dc65,Cart,284,2024-12-16,Tablet,Instagram
50d680b8,04c9c778,Checkout,235,2024-12-17,Mobile,Facebook
e9a4cdc5,f288f5f6,Login,290,2024-12-11,Tablet,Facebook
48ff8e5f,f288f5f6,Products,100,2024-12-16,Mobile,Google
c86635a0,ad2366be,Sign Up,281,2024-12-18,Tablet,Google
d8a5be2c,e4dc2985,Products,72,2024-12-03,Desktop,Google
55916a99,055736e0,Products,135,2024-12-18,Mobile,Google
46ff93df,2ed415e0,Checkout,79,2024-12-17,Desktop,Google
1efd4096,496dac99,Login,233,2024-12-05,Tablet,Google
fd867660,981e6a5f,Home,98,2024-12-10,Tablet,Email
3f27b54b,1d5d0e60,Home,70,2024-12-06,Desktop,Instagram
1c6e52a1,4242723d,Checkout,131,2024-12-01,Tablet,Email
e05f66de,1651ee33,Login,169,2024-12-04,Tablet,Facebook
c34f4be4,a5ae6077,Login,131,2024-12-14,Mobile,Google
394f05a6,c8d09f55,Cart,30,2024-12-06,Desktop,Google
9f9751fb,0ed95e84,Login,238,2024-12-18,Tablet,Google
3573345a,e4bbc78c,Products,127,2024-12-10,Mobile,Direct
361f2824,04c9c778,Home,251,2024-12-04,Desktop,Email
84be7bfe,6f4e099b,Checkout,247,2024-12-05,Mobile,Direct
409363f1,b49a5a19,Cart,67,2024-12-16,Mobile,Direct
f3a30329,04c9c778,Cart,15,2024-12-02,Desktop,Instagram
412ae955,13c626fe,Checkout,170,2024-12-09,Desktop,Google
4f8d9c54,ff4a44d8,Products,275,2024-12-12,Desktop,Instagram
9e371b94,765184c5,Sign Up,136,2024-12-17,Mobile,Google
7d103e1d,2ff2c17d,Login,87,2024-12-04,Mobile,Email
4e7b77ef,3603237b,Cart,246,2024-12-09,Desktop,Direct
282fdf3e,a18dd2a8,Checkout,258,2024-12-15,Tablet,Email
95c601c6,ceb31ab7,Home,78,2024-12-07,Mobile,Instagram
8c5f2e64,4dd179d5,Products,192,2024-12-13,Mobile,Email
e83ebde6,6f4e099b,Sign Up,11,2024-12-02,Desktop,Email
266f2cec,7388f372,Products,56,2024-12-12,Desktop,Instagram
747c5a6a,5d7d62e8,Sign Up,96,2024-12-12,Mobile,Google
69ee0bb8,a068d204,Products,19,2024-12-05,Desktop,Instagram
9acf6eed,9ab485e7,Login,281,2024-12-13,Desktop,Direct
d6cf982e,5bc11b43,Sign Up,147,2024-12-09,Tablet,Email
f93af049,4d82060d,Home,13,2024-12-03,Tablet,Facebook
3a47345c,1651ee33,Login,149,2024-12-01,Mobile,Google
ede43332,9ab485e7,Login,261,2024-12-09,Desktop,Instagram
dadf92ca,2e0bf12f,Sign Up,26,2024-12-09,Tablet,Email
a303aa81,aa3a0c21,Checkout,140,2024-12-06,Desktop,Instagram
d2486d15,06984f77,Home,13,2024-12-04,Tablet,Instagram
b97c7df7,09d62a2b,Cart,185,2024-12-13,Mobile,Direct
044efe4f,7be0ad5a,Login,131,2024-12-14,Mobile,Email
f1472c3e,e4dc2985,Products,75,2024-12-07,Desktop,Google
757cc19c,d54e9bae,Home,71,2024-12-12,Desktop,Facebook
e6ca2930,d8dfa06b,Cart,78,2024-12-03,Tablet,Facebook
a78b7e3e,99860d90,Products,283,2024-12-09,Mobile,Instagram
be625ff4,ff4a44d8,Home,127,2024-12-06,Desktop,Direct
57bb9d8e,04c9c778,Checkout,34,2024-12-14,Mobile,Direct
ab514c6d,a48dc335,Cart,209,2024-12-07,Mobile,Email
a41a2989,a626b230,Home,178,2024-12-05,Tablet,Direct
f4ea8aae,a2992c62,Home,295,2024-12-15,Desktop,Instagram
bb81bd6e,32dd8327,Cart,92,2024-12-07,Tablet,Instagram
db082a16,e4018919,Sign Up,268,2024-12-10,Mobile,Direct
a2995a29,e8983c5c,Cart,181,2024-12-06,Mobile,Facebook
3d85b72c,a2992c62,Cart,176,2024-12-03,Tablet,Instagram
e34a4a28,f288f5f6,Cart,125,2024-12-17,Tablet,Instagram
331c5c47,3ca0b145,Home,223,2024-12-12,Tablet,Email
08557851,ff4a44d8,Sign Up,181,2024-12-10,Tablet,Direct
8ea2cfcb,583fd9aa,Home,298,2024-12-15,Mobile,Direct
c87422b6,004373c1,Home,241,2024-12-02,Desktop,Facebook
fe8a1fa1,01472718,Products,75,2024-12-06,Mobile,Instagram
bb770476,04c9c778,Login,95,2024-12-05,Mobile,Instagram
1a6db15f,aa3a0c21,Sign Up,112,2024-12-12,Desktop,Email
92161bd9,910472cc,Sign Up,284,2024-12-11,Mobile,Email
b191593a,8e798038,Cart,89,2024-12-04,Desktop,Google
7768c3e4,0f0d752f,Login,42,2024-12-11,Mobile,Email
a02bab45,d4816ef5,Products,245,2024-12-15,Mobile,Instagram
e9d89d9f,083e0376,Cart,270,2024-12-17,Tablet,Instagram
4bc7cfa9,c0fe2484,Login,65,2024-12-15,Desktop,Facebook
96ece6ac,a18dd2a8,Login,199,2024-12-17,Mobile,Instagram
0fe27dd9,7f92f8b4,Sign Up,254,2024-12-14,Desktop,Google
766d5b1b,f41751c9,Cart,270,2024-12-05,Tablet,Direct
ad3ce1bf,9641b3e7,Login,263,2024-12-02,Tablet,Google
e600b84a,a626b230,Checkout,195,2024-12-18,Desktop,Facebook
7805af6d,747e5483,Products,45,2024-12-07,Tablet,Google
